side,entry_time,exit_time,entry,exit,stop,target,bars_held,reason,gross_pnl,net_pnl,ret_on_capital_pct
SHORT,2026-04-09 05:41:00+00:00,2026-04-09 05:43:00+00:00,25034.75,25041.3375,25041.3375,25027.625,3,stop,-13.17500000000291,-15.57500000000291,-0.15575000000002912
LONG,2026-04-09 07:15:00+00:00,2026-04-09 07:15:00+00:00,25020.0,25021.8125,25009.495535714286,25021.8125,1,target_25pct,3.625,1.225,0.01225
LONG,2026-04-09 07:20:00+00:00,2026-04-09 07:20:00+00:00,25007.75,25000.55267857143,25000.55267857143,25015.25,1,stop,-14.39464285714348,-16.79464285714348,-0.1679464285714348
LONG,2026-04-09 07:37:00+00:00,2026-04-09 07:37:00+00:00,24998.75,25000.1875,24988.423214285714,25000.1875,1,target_25pct,2.875,0.4750000000000001,0.004750000000000001
LONG,2026-04-09 07:49:00+00:00,2026-04-09 07:49:00+00:00,24974.25,24978.25,24961.04642857143,24978.25,1,target_25pct,8.0,5.6,0.055999999999999994
LONG,2026-04-09 07:53:00+00:00,2026-04-09 07:54:00+00:00,24974.5,24978.25,24960.958035714284,24978.25,2,target_25pct,7.5,5.1,0.05099999999999999
LONG,2026-04-09 08:14:00+00:00,2026-04-09 08:15:00+00:00,24962.25,24954.09375,24954.09375,24966.25,2,stop,-16.3125,-18.7125,-0.18712499999999999
LONG,2026-04-09 08:17:00+00:00,2026-04-09 08:18:00+00:00,24959.0,24964.0,24951.47142857143,24964.0,2,target_25pct,10.0,7.6,0.076
SHORT,2026-04-09 08:47:00+00:00,2026-04-09 08:47:00+00:00,24992.75,24989.0625,25003.529464285715,24989.0625,1,target_25pct,7.375,4.975,0.04975
SHORT,2026-04-09 09:21:00+00:00,2026-04-09 09:29:00+00:00,25001.25,25010.560714285715,25010.560714285715,24996.375,9,stop,-18.621428571430442,-21.02142857143044,-0.2102142857143044
SHORT,2026-04-09 09:34:00+00:00,2026-04-09 09:34:00+00:00,25008.0,25001.375,25015.499107142856,25001.375,1,target_25pct,13.25,10.85,0.1085
SHORT,2026-04-09 10:27:00+00:00,2026-04-09 10:28:00+00:00,25022.0,25020.375,25029.425,25020.375,2,target_25pct,3.25,0.8500000000000001,0.0085
LONG,2026-04-09 11:08:00+00:00,2026-04-09 11:11:00+00:00,24986.75,24991.5625,24976.35357142857,24991.5625,4,target_25pct,9.625,7.225,0.07225
SHORT,2026-04-09 11:52:00+00:00,2026-04-09 12:00:00+00:00,25027.5,25036.354464285716,25036.354464285716,25017.875,9,stop,-17.708928571431898,-20.108928571431896,-0.20108928571431894
SHORT,2026-04-09 12:05:00+00:00,2026-04-09 12:07:00+00:00,25033.25,25041.320535714287,25041.320535714287,25026.375,3,stop,-16.141071428573923,-18.54107142857392,-0.18541071428573921
SHORT,2026-04-09 12:12:00+00:00,2026-04-09 12:12:00+00:00,25044.25,25040.375,25052.48214285714,25040.375,1,target_25pct,7.75,5.35,0.0535
LONG,2026-04-09 13:58:00+00:00,2026-04-09 14:04:00+00:00,25035.75,25040.1875,25007.20089285714,25040.1875,7,target_25pct,8.875,6.475,0.06475
LONG,2026-04-09 14:21:00+00:00,2026-04-09 14:23:00+00:00,24995.25,25005.1875,24973.48125,25005.1875,3,target_25pct,19.875,17.475,0.17475000000000002
LONG,2026-04-09 14:30:00+00:00,2026-04-09 14:30:00+00:00,24981.75,24988.375,24958.275892857142,24988.375,1,target_25pct,13.25,10.85,0.1085
LONG,2026-04-09 14:38:00+00:00,2026-04-09 14:39:00+00:00,24981.0,24982.5625,24953.420535714286,24982.5625,2,target_25pct,3.125,0.7250000000000001,0.007250000000000001
SHORT,2026-04-09 15:22:00+00:00,2026-04-09 15:26:00+00:00,25082.5,25077.25,25105.820535714287,25077.25,5,target_25pct,10.5,8.1,0.08099999999999999
SHORT,2026-04-09 15:50:00+00:00,2026-04-09 15:55:00+00:00,25151.75,25182.62767857143,25182.62767857143,25142.0625,6,stop,-61.755357142857974,-64.15535714285798,-0.6415535714285798
SHORT,2026-04-09 15:58:00+00:00,2026-04-09 16:00:00+00:00,25181.0,25197.901785714286,25197.901785714286,25155.1875,3,stop,-33.80357142857247,-36.20357142857247,-0.3620357142857247
SHORT,2026-04-09 16:06:00+00:00,2026-04-09 16:08:00+00:00,25225.75,25244.89285714286,25244.89285714286,25200.5,3,stop,-38.285714285717404,-40.6857142857174,-0.40685714285717406
SHORT,2026-04-09 16:10:00+00:00,2026-04-09 16:14:00+00:00,25226.25,25210.5,25256.94017857143,25210.5,5,target_25pct,31.5,29.1,0.29100000000000004
SHORT,2026-04-09 16:21:00+00:00,2026-04-09 16:21:00+00:00,25230.75,25218.3125,25249.628571428573,25218.3125,1,target_25pct,24.875,22.475,0.22475
LONG,2026-04-09 16:38:00+00:00,2026-04-09 16:38:00+00:00,25200.25,25186.81517857143,25186.81517857143,25205.9375,1,stop,-26.869642857142026,-29.269642857142024,-0.29269642857142025
LONG,2026-04-09 16:43:00+00:00,2026-04-09 16:47:00+00:00,25184.25,25164.011607142857,25164.011607142857,25187.9375,5,stop,-40.47678571428696,-42.87678571428696,-0.4287678571428696
LONG,2026-04-09 16:51:00+00:00,2026-04-09 16:51:00+00:00,25184.25,25187.8125,25163.94732142857,25187.8125,1,target_25pct,7.125,4.725,0.04724999999999999
SHORT,2026-04-09 17:14:00+00:00,2026-04-09 17:14:00+00:00,25229.75,25221.625,25247.222321428573,25221.625,1,target_25pct,16.25,13.85,0.13849999999999998
SHORT,2026-04-09 17:21:00+00:00,2026-04-09 17:25:00+00:00,25239.5,25228.5625,25253.095535714285,25228.5625,5,target_25pct,21.875,19.475,0.19475000000000003
LONG,2026-04-09 18:06:00+00:00,2026-04-09 18:06:00+00:00,25184.75,25187.9375,25158.925,25187.9375,1,target_25pct,6.375,3.975,0.03975
