time,btc_A_MVRV_Z,btc_B_AddrMomentum,btc_C_HashRibbon,btc_D_Ensemble,btc_Buy_and_Hold,eth_A_MVRV_Z,eth_B_AddrMomentum,eth_C_HashRibbon,eth_D_Ensemble,eth_Buy_and_Hold
2020-12-15 00:00:00+00:00,55265.00476471242,22084.372926736698,21082.838450642263,46889.39990151664,20505.480715653677,8848.007978223071,14999.960761300286,4472.518173679974,8814.396147078132,6392.558749020044
2020-12-16 00:00:00+00:00,60776.9244133257,24286.983594743153,23185.559910621843,51565.96883929551,22550.618729159112,8848.007978223071,16202.100115982652,4830.958452069523,9520.806828064786,6904.876519153325
2020-12-17 00:00:00+00:00,64811.179152129866,25899.106610248506,24724.572551425128,54988.81815520041,24047.485201907595,8848.007978223071,16369.751544237684,4880.946853482451,9619.323492660062,6976.324813021029
2020-12-18 00:00:00+00:00,65549.17198214018,26194.014915144056,25006.106655675754,55614.96558933401,24321.309438574084,8848.007978223071,16604.605791674647,4950.97302932004,9757.330411923085,7076.413046456349
2020-12-19 00:00:00+00:00,67847.09636853151,27112.285334599663,25882.73317215465,57564.631493746434,25173.929363095736,8848.007978223071,16800.799771285638,5009.471924973197,9872.61947737349,7160.0253679034195
2020-12-20 00:00:00+00:00,66913.65199084359,26739.272904201967,25526.63699336593,56772.65387793742,24827.584949170403,8848.007978223071,16262.123109987158,4848.855427654717,9556.078016803785,6930.456620433044
2020-12-21 00:00:00+00:00,65232.51065552849,26067.474315751344,24885.3047192434,55346.29539487631,24203.815687259408,8848.007978223071,15599.593688913264,4651.30991913608,9166.757213278337,6648.105332015276
2020-12-22 00:00:00+00:00,67563.03070059302,26998.770241763883,25774.366030741774,57323.6169718267,25068.52987745937,8848.007978223071,16150.424052534889,4815.550269568764,9490.440528992505,6882.853643442863
2020-12-23 00:00:00+00:00,66284.3470299178,26487.797209937584,25286.565814798734,56238.72228599266,24594.0881676996,8848.007978223071,14987.431894891934,4468.78245839387,8807.033835032493,6387.219300747576
2020-12-24 00:00:00+00:00,67422.95065651722,26942.79304704302,25720.927422494427,57204.76654861844,25016.554696154788,8848.007978223071,15582.965764611343,4646.351993257847,9156.98618025811,6641.018981279711
2020-12-25 00:00:00+00:00,70157.48243320288,28035.535548259595,26764.113647329843,59524.870465487904,26031.17305820682,8848.007978223071,15938.143992929383,4752.255009027483,9365.698833379824,6792.3858899688175
2020-12-26 00:00:00+00:00,75301.88593768603,30091.28359283698,28726.632758143147,63889.621616843935,27939.948191834905,8848.007978223071,16191.96033523963,4827.935087250644,9514.848409523845,6900.555231575747
2020-12-27 00:00:00+00:00,75167.61951096774,30037.629569792713,28675.41196487807,63775.70373693881,27890.130090207058,8848.007978223071,17533.39379419018,5227.908501809005,10303.112199029283,7472.236206659792
2020-12-28 00:00:00+00:00,76898.13198012163,30729.157289474824,29335.578646837526,65243.950985739,28532.21797594069,8848.007978223071,18603.956863558036,5547.116855751611,10932.204977604137,7928.479887851394
2020-12-29 00:00:00+00:00,77443.75338823473,30947.19231371633,29543.725702129297,65706.88156013713,28734.664882617788,8848.007978223071,18585.352906694476,5557.88428656169,10921.272772626531,7943.869749078676
2020-12-30 00:00:00+00:00,82032.18605234,32780.76961158753,31294.14959172877,69599.92119750615,30437.15306495777,8848.007978223071,18585.352906694476,5704.222508904119,10921.272772626531,8153.030594764281
2020-12-31 00:00:00+00:00,82538.57054967828,32983.12522760798,31487.32830575847,70029.56135226072,30625.04154138302,8848.007978223071,18585.352906694476,5611.718099250269,10921.272772626531,8020.814279415224
2021-01-01 00:00:00+00:00,83556.76250420418,33390.00352121324,31875.7545183392,70893.44275307724,31002.830624678194,8848.007978223071,18585.352906694476,5550.124021911169,10921.272772626531,7932.778022726767
2021-01-02 00:00:00+00:00,91070.40086373327,36392.518264040635,34742.10410764834,77268.36292643605,33790.68465892043,8848.007978223071,18585.352906694476,5887.136545103614,10921.272772626531,8414.469157341111
2021-01-03 00:00:00+00:00,90979.33046286955,37818.95172798918,36103.848286701235,80296.95736947836,35115.13720209173,8848.007978223071,18585.352906694476,7520.239001146165,10921.272772626531,10748.65830717103
2021-01-04 00:00:00+00:00,90979.33046286955,36141.88965064585,34502.841594520156,76736.22985119697,33557.97439742435,8848.007978223071,18585.352906694476,7823.619009543513,10921.272772626531,11182.278574690823
2021-01-05 00:00:00+00:00,90979.33046286955,38654.63544576334,36901.633438949524,82071.27571502936,35891.07484886357,8848.007978223071,18585.352906694476,8364.5831166252,10921.272772626531,11955.47718481195
2021-01-06 00:00:00+00:00,90979.33046286955,41643.64474531836,39755.090061831215,88417.5212172736,38666.38899313489,8848.007978223071,18585.352906694476,9107.161231881153,10921.272772626531,13016.842179468746
2021-01-07 00:00:00+00:00,90979.33046286955,44567.04602899535,42545.91401660806,94624.46819818535,41380.78567740668,8848.007978223071,18585.352906694476,9265.573304689115,10921.272772626531,13243.26014864286
2021-01-08 00:00:00+00:00,90979.33046286955,46339.64447312851,44238.12446602839,98388.03792178573,43026.654606234864,8848.007978223071,18585.352906694476,9263.04096605801,10921.272772626531,13239.640683535481
2021-01-09 00:00:00+00:00,90979.33046286955,45879.693585975445,43799.03252163645,97411.47312846678,42599.587282297114,8848.007978223071,18585.352906694476,9772.478318374451,10921.272772626531,13967.77818396928
2021-01-10 00:00:00+00:00,90979.33046286955,43559.78843682986,41584.335928597306,92485.86529560045,40445.54059707933,8848.007978223071,18255.79208765127,9608.962402608826,10727.613625124164,13734.065305152397
2021-01-11 00:00:00+00:00,90979.33046286955,40082.41595437772,38264.66357369471,85102.73019472434,37216.77813157411,8848.007978223071,15622.518141652214,8222.934876583811,9180.228262377172,11753.019718794587
2021-01-12 00:00:00+00:00,90979.33046286955,38312.89532078006,36575.391354964326,81345.69525884464,35573.76696940254,8848.007978223071,14986.79697120235,7888.322124857346,8806.660736128286,11274.758571378678
2021-01-13 00:00:00+00:00,90979.33046286955,42386.060200182,40463.836701370186,89993.8129812124,39355.72646462267,8848.007978223071,16272.013849242714,8564.797875731052,9561.890091606732,12241.64362624465
2021-01-14 00:00:00+00:00,90979.33046286955,44373.696779336286,42361.33322689589,94213.95030311096,41201.25966942707,8848.007978223071,17493.82798471196,9207.901501929859,10279.86222363464,13160.829988946694
2021-01-15 00:00:00+00:00,90979.33046286955,41719.83273200554,39827.82289515792,88579.28306522455,38737.130023317695,8848.007978223071,16845.034942016242,8866.408351459859,9898.613299934623,12672.73470526197
2021-01-16 00:00:00+00:00,90979.33046286955,41114.0351689275,39249.49847550893,87293.05753875099,38174.64313322141,8848.007978223071,17766.354694472488,9351.346327288433,10440.006534590877,13365.85530974782
2021-01-17 00:00:00+00:00,90979.33046286955,40992.06835482108,39133.06290150936,87034.09837607418,38061.39617063363,8848.007978223071,17918.39960297896,9431.375383400167,10529.352372026664,13480.240634291276
2021-01-18 00:00:00+00:00,90979.33046286955,41587.97939986144,39701.94916036841,88299.33291043581,38614.70336585521,8848.007978223071,18064.210979190135,9508.123410829423,10615.035211677272,13589.936392958085
2021-01-19 00:00:00+00:00,90979.33046286955,41196.866211384506,39328.573099570596,87468.92388039042,38251.5522829353,8848.007978223071,19996.33454354197,10525.099425779203,11750.40501512637,15043.49760153372
2021-01-20 00:00:00+00:00,90979.33046286955,40361.94698028958,38531.51776424802,85696.22868808631,37476.32446690714,8848.007978223071,19732.87289725795,10386.426009609822,11595.587588810153,14845.292043643121
2021-01-21 00:00:00+00:00,90979.33046286955,35256.36438288603,33657.475225002825,74856.08824425015,32735.758554506323,8848.007978223071,16340.7945376742,8601.000689938757,9602.307546342212,12293.388215694173
2021-01-22 00:00:00+00:00,90979.33046286955,37487.78759587054,35787.702570394664,79593.83179396563,34807.64919926719,8848.007978223071,17822.07119944123,9380.672789754644,10472.747110019061,13407.77154729816
2021-01-23 00:00:00+00:00,90979.33046286955,36407.97550967245,34756.8603614767,77301.1816518855,33805.03680979525,8848.007978223071,17784.41375899233,9360.85174185299,10450.618545599213,13379.441374393753
2021-01-24 00:00:00+00:00,90979.33046286955,36612.33616475986,34951.95318531047,77735.0788928132,33994.786977745905,8848.007978223071,20012.85131270628,10533.793050966784,11760.110730281282,15055.923377706215
2021-01-25 00:00:00+00:00,90979.33046286955,36843.72144328584,35172.845055919766,78226.35464205549,34209.62968043169,8848.007978223071,19123.852574604793,10065.867287495685,11237.710226934912,14387.118284689035
2021-01-26 00:00:00+00:00,90979.33046286955,37094.80333645191,35412.54029241403,78759.45011801716,34442.76081507819,8848.007978223071,19646.688569432903,10341.062764794762,11544.943269187695,14780.454474232452
2021-01-27 00:00:00+00:00,90979.33046286955,34501.7359541956,32937.06947451484,73253.86597208954,32035.08125914777,8848.007978223071,17974.502876756127,9460.905422184558,10562.3202236157,13522.447842950804
2021-01-28 00:00:00+00:00,90979.33046286955,38084.26107902672,36357.125760593066,80860.26049335155,35361.47862185633,8848.007978223071,19357.087067314515,10188.63059793869,11374.765333052945,14562.583569290748
2021-01-29 00:00:00+00:00,90979.33046286955,38828.48580820465,37067.59962318734,82440.39369698777,36052.49601605161,8848.007978223071,19957.721945272635,10504.775629186011,11727.715173277451,15014.448851214562
2021-01-30 00:00:00+00:00,90979.33046286955,39037.33054078172,37266.97316993902,82883.81150267409,36246.40967846946,8848.007978223071,19906.647110351223,10477.892316420237,11697.702172889782,14976.024601261855
2021-01-31 00:00:00+00:00,90979.33046286955,37682.5733418071,35973.65471074711,80007.39964878467,34988.50900317635,8848.007978223071,19004.672103474677,10003.136475229856,11167.676451363546,14297.4572956867
2021-02-01 00:00:00+00:00,90979.33046286955,38151.294362538654,36421.11905991773,81002.58513384416,35423.71945191842,8848.007978223071,19763.629488345934,10402.61478553244,11613.661021287568,14868.430619528412
2021-02-02 00:00:00+00:00,90979.33046286955,40453.62401026071,38619.03720701998,85890.87677405916,37561.44717228699,8848.007978223071,21988.384107364218,11573.617576676048,12920.989010615529,16542.14190408038
2021-02-03 00:00:00+00:00,90979.33046286955,42706.34400642133,40769.59551859816,90673.83751813525,39653.11201567111,8848.007978223071,23941.034294303383,12601.397808925589,14068.420831154239,18011.145552718608
2021-02-04 00:00:00+00:00,90979.33046286955,42195.879651610834,40282.28091098022,89590.02285210046,39179.14261575562,8848.007978223071,23203.51608239636,12213.204038125166,13635.034518424332,17456.301192230854
2021-02-05 00:00:00+00:00,90979.33046286955,43237.117064168495,41276.29782196714,91800.77149286123,40145.93817542349,8848.007978223071,24820.44965523477,13064.279348049951,14585.189874248921,18672.740948820632
2021-02-06 00:00:00+00:00,90979.33046286955,44710.326370109746,42682.69654128689,94928.68010561993,41513.82238537211,8848.007978223071,24289.97825443774,12785.064963845509,14273.470054062194,18273.660545950017
